feature,test_season,games,accuracy,log_loss,brier,log_loss_delta,brier_delta
env_temp,2025,2428,0.5601317957166392,0.6807197752559758,0.24388383985135625,-0.0003783908487916543,-0.0001836982142889021
park_games_entering_scaled,2025,2428,0.5605436573311368,0.681065164155353,0.2440514515287296,-3.3001949414468434e-05,-1.6086536915566052e-05
env_wind_in,2025,2428,0.5605436573311368,0.6810741691658896,0.2440557220281486,-2.399693887789045e-05,-1.181603749655924e-05
env_wind_speed,2025,2428,0.5584843492586491,0.6810746222313537,0.24405682132133216,-2.3543873413744976e-05,-1.0716744312994075e-05
env_day_game,2025,2428,0.5580724876441515,0.6811110528952736,0.24407878826559212,1.288679050615027e-05,1.1250199946966077e-05
env_wind_out,2025,2428,0.5597199341021417,0.681200699260388,0.24411825982337193,0.00010253315562047671,5.0721757726773786e-05
park_runs_per_game_entering,2025,2428,0.5580724876441515,0.6812268186195258,0.24413038324185304,0.00012865251475835393,6.284517620788743e-05
env_weather_precip,2025,2428,0.557660626029654,0.6812847047146576,0.24415991833347117,0.00018653860989015225,9.238026782601438e-05
park_home_win_rate_entering,2025,2428,0.5547775947281713,0.6814851370972423,0.2442625659970062,0.00038697099247486655,0.00019502793136103036
env_wind_cross,2025,2428,0.5556013179571664,0.6814888009109171,0.2442636869501267,0.00039063480614964785,0.00019614888448155066
env_weather_cloudy,2025,2428,0.5601317957166392,0.681503091702108,0.2442660335559296,0.0004049255973405108,0.0001984954902844449
park_recent_runs_per_game_entering,2025,2428,0.5613673805601318,0.6815468216589323,0.24428656448528926,0.00044865555416484515,0.0002190264196441083
env_weather_clear,2025,2428,0.5584843492586491,0.6816029692112862,0.2443115537336274,0.0005048031065186809,0.00024401566798223917
