feature,test_season,games,accuracy,log_loss,brier,log_loss_delta,brier_delta
lineup_k_rate_diff,2025,2428,0.5551894563426688,0.6808363045369286,0.2439420523733387,-0.0002618615678389169,-0.0001254856923064429
lineup_bottom5_ops_diff,2025,2428,0.556013179571664,0.6808471390613449,0.24395105047103957,-0.0002510270434226136,-0.00011648759460558544
lineup_obp_diff,2025,2428,0.5593080724876441,0.680934687665149,0.24399291562463976,-0.00016347843961850295,-7.462244100539528e-05
lineup_bb_rate_diff,2025,2428,0.5630148270181219,0.6810603457759092,0.24405365171728657,-3.782032885824016e-05,-1.3886348358582712e-05
lineup_ops_diff,2025,2428,0.5617792421746294,0.681306281602122,0.24418993800975086,0.00020811549735455515,0.00012239994410570554
lineup_recent_tb_pg_diff,2025,2428,0.5543657331136738,0.6813653518403858,0.24421198942771213,0.00026718573561834713,0.0001444513620669774
lineup_top4_ops_diff,2025,2428,0.556013179571664,0.6815350223421298,0.2442930135017185,0.0004368562373623375,0.00022547543607334686
lineup_slg_diff,2025,2428,0.5605436573311368,0.6815471167296094,0.2443123585114221,0.00044895062484195947,0.00024482044577694984
lineup_iso_diff,2025,2428,0.5609555189456342,0.6817331044173532,0.2444017379216019,0.0006349383125857644,0.00033419985595675716
lineup_power_rate_diff,2025,2428,0.5564250411861614,0.6818050584237811,0.24443803126679314,0.0007068923190136633,0.00037049320114798667
