feature,test_season,games,accuracy,log_loss,brier,log_loss_delta,brier_delta
lineup_iso_delta_diff,2025,2428,0.5609555189456342,0.6809539447822298,0.2439987745741226,-0.00014422132253766318,-6.876349152254435e-05
lineup_k_rate_delta_diff,2025,2428,0.5601317957166392,0.6809919503508892,0.24401558100080226,-0.00010621575387825821,-5.195706484290019e-05
lineup_bottom5_ops_delta_diff,2025,2428,0.5601317957166392,0.6809953950138387,0.24401713741342082,-0.00010277109092882153,-5.0400652224336095e-05
lineup_obp_delta_diff,2025,2428,0.556013179571664,0.68101877358031,0.24402999682458842,-7.939252445743339e-05,-3.754124105673218e-05
lineup_power_rate_delta_diff,2025,2428,0.5597199341021417,0.6810977212688207,0.24407228603745915,-4.448359467446039e-07,4.747971813989782e-06
lineup_ops_delta_diff,2025,2428,0.5613673805601318,0.6811521226114369,0.2440930768012194,5.395650666939478e-05,2.553873557423203e-05
lineup_top4_ops_delta_diff,2025,2428,0.5609555189456342,0.6811706503939058,0.24410249749709217,7.248428913830818e-05,3.4959431447018074e-05
lineup_slg_delta_diff,2025,2428,0.556013179571664,0.6811890289457668,0.24411203006330362,9.08628409993506e-05,4.4491997658463456e-05
lineup_bb_rate_delta_diff,2025,2428,0.5547775947281713,0.681223909788372,0.24412779256595915,0.00012574368360451782,6.0254500313994264e-05
lineup_recent_tb_pg_delta_diff,2025,2428,0.5547775947281713,0.6813358521966595,0.24417806251714003,0.00023768609189200873,0.00011052445149487
