feature_set,seasons_tested,avg_accuracy,avg_log_loss,avg_brier,worst_log_loss,best_log_loss,num_added_features,added_features,avg_log_loss_delta,avg_brier_delta,avg_accuracy_delta,beats_avg_log_loss,beats_avg_brier,beats_every_season_log_loss,beats_every_season_brier,strict_promotion_candidate
team_plus_vs_hand_games_scaled_diff__env_temp__opp_adj_offense_diff,2,0.5614578409023856,0.680839654929143,0.24393004070248137,0.6820896289998403,0.6795896808584457,3,"vs_hand_games_scaled_diff, env_temp, opp_adj_offense_diff",-0.0007787417721856205,-0.0003724912979976569,0.0028823530608659276,True,True,True,True,True
team_plus_env_temp__opp_adj_offense_diff__away_lineup_platoon_adv_pct,2,0.5614578409023856,0.681014541332081,0.24401548880480187,0.6819951371777626,0.6800339454863993,3,"env_temp, opp_adj_offense_diff, away_lineup_platoon_adv_pct",-0.0006038553692476745,-0.00028704319567715575,0.0028823530608659276,True,True,True,True,True
team_plus_env_temp__opp_adj_offense_diff__lineup_platoon_adv_pct_diff,2,0.5616641108299427,0.6810175440307232,0.24401642484057645,0.681986341360709,0.6800487467007374,3,"env_temp, opp_adj_offense_diff, lineup_platoon_adv_pct_diff",-0.0006008526706053896,-0.0002861071599025711,0.003088622988423051,True,True,True,True,True
team_plus_vs_hand_games_scaled_diff__env_temp,2,0.5587814186487683,0.6810425625547463,0.24402599370670647,0.6821415436514857,0.6799435814580068,2,"vs_hand_games_scaled_diff, env_temp",-0.0005758341465823547,-0.0002765382937725547,0.00020593080724862212,True,True,False,False,False
team_plus_env_temp__opp_adj_offense_diff__away_faces_lhp,2,0.56001615569149,0.6810509774673572,0.24403222238607544,0.6820002224101713,0.6801017325245432,3,"env_temp, opp_adj_offense_diff, away_faces_lhp",-0.0005674192339714113,-0.0002703096144035799,0.001440667849970323,True,True,True,True,True
team_plus_vs_hand_games_scaled_diff__opp_adj_offense_diff,2,0.5606338633331592,0.6810609388443655,0.24403393197895137,0.6821670707858948,0.6799548069028362,2,"vs_hand_games_scaled_diff, opp_adj_offense_diff",-0.0005574578569631505,-0.0002686000215276485,0.0020583754916395636,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__env_temp__away_faces_lhp,2,0.5598107335647038,0.6810729503656565,0.24404072300934532,0.6821189514411985,0.6800269492901144,3,"vs_hand_games_scaled_diff, env_temp, away_faces_lhp",-0.0005454463356721062,-0.00026180899113370515,0.0012352457231841196,True,True,True,True,True
team_plus_vs_hand_games_scaled_diff__opp_adj_offense_diff__away_faces_lhp,2,0.5600162404715672,0.6810916261489053,0.24404900595502357,0.6821405749627174,0.6800426773350933,3,"vs_hand_games_scaled_diff, opp_adj_offense_diff, away_faces_lhp",-0.000526770552423339,-0.0002535260454554489,0.0014407526300475038,True,True,False,True,False
team_plus_away_vs_hand_games_scaled__opp_adj_offense_diff__lineup_platoon_adv_pct_diff,2,0.5614577561223085,0.6811220932311861,0.24406233675534203,0.6821341668069076,0.6801100196554645,3,"away_vs_hand_games_scaled, opp_adj_offense_diff, lineup_platoon_adv_pct_diff",-0.0004963034701425117,-0.00024019524513699264,0.0028822682807888578,True,True,True,True,True
team_plus_away_vs_hand_games_scaled__opp_adj_offense_diff__away_lineup_platoon_adv_pct,2,0.5589864168751691,0.6811363852873298,0.24407030308571845,0.6820986786361795,0.68017409193848,3,"away_vs_hand_games_scaled, opp_adj_offense_diff, away_lineup_platoon_adv_pct",-0.0004820114139988396,-0.00023222891476057383,0.0004109290336494764,True,True,True,True,True
team_plus_away_vs_hand_games_scaled__env_temp__opp_adj_offense_diff,2,0.55898726467594,0.6811530742361229,0.24408026433291097,0.6821543416771532,0.6801518067950928,3,"away_vs_hand_games_scaled, env_temp, opp_adj_offense_diff",-0.00046532246520569753,-0.0002222676675680546,0.00041177683442028545,True,True,False,True,False
team_plus_vs_hand_games_scaled_diff__opp_adj_offense_diff__lineup_platoon_adv_pct_diff,2,0.557546088145507,0.6812173661328339,0.24411348929045495,0.682415467376899,0.6800192648887688,3,"vs_hand_games_scaled_diff, opp_adj_offense_diff, lineup_platoon_adv_pct_diff",-0.0004010305684947202,-0.0001890427100240677,-0.0010293996960126783,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__opp_adj_offense_diff__away_lineup_platoon_adv_pct,2,0.5579579497600046,0.681217486930708,0.24411318571714713,0.6825252272145212,0.6799097466468949,3,"vs_hand_games_scaled_diff, opp_adj_offense_diff, away_lineup_platoon_adv_pct",-0.0004009097706205722,-0.00018934628333189263,-0.000617538081515101,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_vs_hand_games_scaled__opp_adj_offense_diff,2,0.5591929411429575,0.6812248146656739,0.24411381989310163,0.6825269435711859,0.6799226857601617,3,"vs_hand_games_scaled_diff, away_vs_hand_games_scaled, opp_adj_offense_diff",-0.00039358203565476035,-0.0001887121073773923,0.0006174533014378092,True,True,False,False,False
team_plus_env_temp__opp_adj_offense_diff,2,0.5624875797187064,0.681224876380051,0.24411721957706817,0.6820795665179347,0.6803701862421675,2,"env_temp, opp_adj_offense_diff",-0.0003935203212775962,-0.00018531242341085497,0.003912091877186774,True,True,True,True,True
team_plus_opp_adj_offense_diff__lineup_platoon_adv_pct_diff,2,0.5583692179139625,0.6812265968118021,0.2441143738694741,0.682052586259281,0.6804006073643231,2,"opp_adj_offense_diff, lineup_platoon_adv_pct_diff",-0.000391799889526534,-0.00018815813100492296,-0.00020626992755712337,True,True,True,True,True
team_plus_away_vs_hand_games_scaled__opp_adj_offense_diff,2,0.5600164100317213,0.6812272915669457,0.2441134228370277,0.6821933631085859,0.6802612200253054,2,"away_vs_hand_games_scaled, opp_adj_offense_diff",-0.0003911051343828964,-0.00018910916345132867,0.0014409221902016434,True,True,False,False,False
team_plus_opp_adj_offense_diff__away_lineup_platoon_adv_pct,2,0.5585748096009029,0.6812281178670535,0.2441158562677281,0.6820550523274457,0.6804011834066613,2,"opp_adj_offense_diff, away_lineup_platoon_adv_pct",-0.0003902788342751151,-0.00018667573275091276,-6.782406167804567e-07,True,True,True,True,True
team_plus_vs_hand_games_scaled_diff__env_temp__home_faces_lhp,2,0.5606340328933135,0.681240575350796,0.24412277995519915,0.6823553060886974,0.6801258446128944,3,"vs_hand_games_scaled_diff, env_temp, home_faces_lhp",-0.00037782135053265886,-0.00017975204527986843,0.002058545051793814,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__env_temp__lineup_platoon_adv_pct_diff,2,0.5614581800226939,0.6812418300085049,0.2441218575496852,0.6821335806936447,0.6803500793233651,3,"away_vs_hand_games_scaled, env_temp, lineup_platoon_adv_pct_diff",-0.0003765666928237099,-0.00018067445079381073,0.0028826921811742068,True,True,True,False,False
team_plus_vs_hand_games_scaled_diff,2,0.5561044029346115,0.6812527010587358,0.24412474812790674,0.6821715616595552,0.6803338404579165,1,vs_hand_games_scaled_diff,-0.0003656956425928115,-0.00017778387257227912,-0.002471084906908172,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_vs_hand_games_scaled__env_temp,2,0.5581638805672533,0.6812551540669181,0.24413042120614448,0.6824653673578813,0.6800449407759548,3,"vs_hand_games_scaled_diff, away_vs_hand_games_scaled, env_temp",-0.0003632426344105655,-0.00017211079433454568,-0.0004116072742663679,True,True,False,False,False
team_plus_env_temp__lineup_platoon_adv_pct_diff,2,0.5620761420045943,0.681256059321592,0.24412907641399073,0.6820857839825442,0.6804263346606398,2,"env_temp, lineup_platoon_adv_pct_diff",-0.0003623373797366769,-0.0001734555864882914,0.003500654163074657,True,True,True,True,True
team_plus_vs_hand_games_scaled_diff__opp_adj_offense_diff__home_faces_lhp,2,0.5616630934690177,0.681260676629371,0.24413282189941457,0.6823727779278416,0.6801485753309003,3,"vs_hand_games_scaled_diff, opp_adj_offense_diff, home_faces_lhp",-0.00035772007195766786,-0.00016971010106445195,0.0030876056274979913,True,True,False,False,False
team_plus_env_temp__away_faces_lhp,2,0.5600167491520296,0.6812617032656675,0.24413191843998144,0.682045565370119,0.680477841161216,2,"env_temp, away_faces_lhp",-0.0003566934356611373,-0.00017061356049757892,0.0014412613105099226,True,True,True,True,True
team_plus_opp_adj_offense_diff__lineup_platoon_adv_pct_diff__away_lineup_platoon_adv_pct,2,0.5602216625983534,0.6812636033941099,0.2441327075933212,0.6821354773707661,0.6803917294174536,3,"opp_adj_offense_diff, lineup_platoon_adv_pct_diff, away_lineup_platoon_adv_pct",-0.00035479330721877034,-0.00016982440715782032,0.001646174756833707,True,True,True,True,True
team_plus_away_vs_hand_games_scaled__env_temp__away_lineup_platoon_adv_pct,2,0.5637225711016595,0.6812667236443479,0.24413508263505798,0.6821473053455833,0.6803861419431125,3,"away_vs_hand_games_scaled, env_temp, away_lineup_platoon_adv_pct",-0.00035167305698069473,-0.00016744936542104072,0.005147083260139795,True,True,False,False,False
team_plus_env_temp__away_lineup_platoon_adv_pct,2,0.5620756333241319,0.6812691520431471,0.24413636917029935,0.6821356007932918,0.6804027032930022,2,"env_temp, away_lineup_platoon_adv_pct",-0.0003492446581815356,-0.00016616283017967248,0.003500145482612238,True,True,True,False,False
team_plus_opp_adj_offense_diff__away_faces_lhp,2,0.5593987023900522,0.6812717397859015,0.24413618555783867,0.6820776178559226,0.6804658617158804,2,"opp_adj_offense_diff, away_faces_lhp",-0.00034665691542712374,-0.0001663464426403527,0.0008232145485325137,True,True,True,True,True
