feature_set,seasons_tested,avg_accuracy,avg_log_loss,avg_brier,worst_log_loss,best_log_loss,num_added_features,added_features,avg_log_loss_delta,avg_brier_delta,avg_accuracy_delta,beats_avg_log_loss,beats_avg_brier,beats_every_season_log_loss,beats_every_season_brier,strict_promotion_candidate
team_plus_vs_hand_games_scaled_diff__env_temp,2,0.5587814186487683,0.6810425625547463,0.24402599370670647,0.6821415436514857,0.6799435814580068,2,"vs_hand_games_scaled_diff, env_temp",-0.0005758341465823547,-0.0002765382937725547,0.00020593080724862212,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__opp_adj_offense_diff,2,0.5606338633331592,0.6810609388443655,0.24403393197895137,0.6821670707858948,0.6799548069028362,2,"vs_hand_games_scaled_diff, opp_adj_offense_diff",-0.0005574578569631505,-0.0002686000215276485,0.0020583754916395636,True,True,False,False,False
team_plus_env_temp__opp_adj_offense_diff,2,0.5624875797187064,0.681224876380051,0.24411721957706817,0.6820795665179347,0.6803701862421675,2,"env_temp, opp_adj_offense_diff",-0.0003935203212775962,-0.00018531242341085497,0.003912091877186774,True,True,True,True,True
team_plus_opp_adj_offense_diff__lineup_platoon_adv_pct_diff,2,0.5583692179139625,0.6812265968118021,0.2441143738694741,0.682052586259281,0.6804006073643231,2,"opp_adj_offense_diff, lineup_platoon_adv_pct_diff",-0.000391799889526534,-0.00018815813100492296,-0.00020626992755712337,True,True,True,True,True
team_plus_away_vs_hand_games_scaled__opp_adj_offense_diff,2,0.5600164100317213,0.6812272915669457,0.2441134228370277,0.6821933631085859,0.6802612200253054,2,"away_vs_hand_games_scaled, opp_adj_offense_diff",-0.0003911051343828964,-0.00018910916345132867,0.0014409221902016434,True,True,False,False,False
team_plus_opp_adj_offense_diff__away_lineup_platoon_adv_pct,2,0.5585748096009029,0.6812281178670535,0.2441158562677281,0.6820550523274457,0.6804011834066613,2,"opp_adj_offense_diff, away_lineup_platoon_adv_pct",-0.0003902788342751151,-0.00018667573275091276,-6.782406167804567e-07,True,True,True,True,True
team_plus_env_temp__lineup_platoon_adv_pct_diff,2,0.5620761420045943,0.681256059321592,0.24412907641399073,0.6820857839825442,0.6804263346606398,2,"env_temp, lineup_platoon_adv_pct_diff",-0.0003623373797366769,-0.0001734555864882914,0.003500654163074657,True,True,True,True,True
team_plus_env_temp__away_faces_lhp,2,0.5600167491520296,0.6812617032656675,0.24413191843998144,0.682045565370119,0.680477841161216,2,"env_temp, away_faces_lhp",-0.0003566934356611373,-0.00017061356049757892,0.0014412613105099226,True,True,True,True,True
team_plus_env_temp__away_lineup_platoon_adv_pct,2,0.5620756333241319,0.6812691520431471,0.24413636917029935,0.6821356007932918,0.6804027032930022,2,"env_temp, away_lineup_platoon_adv_pct",-0.0003492446581815356,-0.00016616283017967248,0.003500145482612238,True,True,True,False,False
team_plus_opp_adj_offense_diff__away_faces_lhp,2,0.5593987023900522,0.6812717397859015,0.24413618555783867,0.6820776178559226,0.6804658617158804,2,"opp_adj_offense_diff, away_faces_lhp",-0.00034665691542712374,-0.0001663464426403527,0.0008232145485325137,True,True,True,True,True
team_plus_vs_hand_games_scaled_diff__away_faces_lhp,2,0.557958288880313,0.6812859842437993,0.24414090047824621,0.6821509064277083,0.6804210620598903,2,"vs_hand_games_scaled_diff, away_faces_lhp",-0.0003324124575293519,-0.00016163152223280797,-0.0006171989612067108,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__lineup_platoon_adv_pct_diff,2,0.5628991869929727,0.6813324236509882,0.244163236102932,0.6821465913284098,0.6805182559735666,2,"away_vs_hand_games_scaled, lineup_platoon_adv_pct_diff",-0.00028597305034039344,-0.00013929589754702043,0.004323699151453031,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__env_temp,2,0.5593987871701291,0.6813437456927387,0.24417198397366172,0.6821693372646329,0.6805181541208445,2,"away_vs_hand_games_scaled, env_temp",-0.0002746510085899212,-0.00013054802681730648,0.0008232993286094725,True,True,False,False,False
team_plus_away_vs_hand_games_scaled__away_lineup_platoon_adv_pct,2,0.5620752094237464,0.6813639912745202,0.2441793161473928,0.6821578030832263,0.6805701794658141,2,"away_vs_hand_games_scaled, away_lineup_platoon_adv_pct",-0.00025440542680843503,-0.00012321585308622263,0.003499721582226778,True,True,False,False,False
team_plus_vs_hand_games_scaled_diff__away_vs_hand_games_scaled,2,0.5546633959643327,0.6814175623324027,0.24420735354887302,0.6825489437605193,0.680286180904286,2,"vs_hand_games_scaled_diff, away_vs_hand_games_scaled",-0.00020083436892592843,-9.517845160600391e-05,-0.003912091877186996,True,True,False,False,False
